Base_Height,H_Feb04,H_Feb14,H_Feb21,H_Feb28,Growth_Feb04,Growth_Feb14,Growth_Feb21,Growth_Feb28,Rate_Feb04_Feb14,Rate_Feb14_Feb21,Rate_Feb21_Feb28,Total_Growth,Growth_Acceleration,Survival_Score,Treatment_Encoded,Alive_Feb14,Alive_Feb21,Alive_Feb28,Target_Accession
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,12
13,17,30.5,36,40,4,17.5,23,27,1.35,0.785714286,0.571428571,27,-0.778571429,1,0,1,1,1,12
10,13.5,24,35,36.2,3.5,14,25,26.2,1.05,1.571428571,0.171428571,26.2,-0.878571429,1,0,1,1,1,12
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,12
14,19,19.5,21.5,22,5,5.5,7.5,8,0.05,0.285714286,0.071428571,8,0.021428571,1,0,1,1,1,12
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,12
15.5,17.5,30,36.5,42,2,14.5,21,26.5,1.25,0.928571429,0.785714286,26.5,-0.464285714,1,0,1,1,1,7
14.6,24,36,40.5,40.8,9.4,21.4,25.9,26.2,1.2,0.642857143,0.042857143,26.2,-1.157142857,1,0,1,1,1,7
18.5,25,43,45.5,49.2,6.5,24.5,27,30.7,1.8,0.357142857,0.528571429,30.7,-1.271428571,1,0,1,1,1,7
17.5,30,43.5,47,49,12.5,26,29.5,31.5,1.35,0.5,0.285714286,31.5,-1.064285714,1,0,1,1,1,7
17,26,43,46.5,48.8,9,26,29.5,31.8,1.7,0.5,0.328571429,31.8,-1.371428571,1,0,1,1,1,7
15,25.8,37,42.5,50,10.8,22,27.5,35,1.12,0.785714286,1.071428571,35,-0.048571429,1,0,1,1,1,7
13.9,22,32.7,37.5,41.3,8.1,18.8,23.6,27.4,1.07,0.685714286,0.542857143,27.4,-0.527142857,1,0,1,1,1,7
16.5,25,32,35.7,46.7,8.5,15.5,19.2,30.2,0.7,0.528571429,1.571428571,30.2,0.871428571,1,0,1,1,1,7
15.5,27.5,37.6,42,45.2,12,22.1,26.5,29.7,1.01,0.628571429,0.457142857,29.7,-0.552857143,1,0,1,1,1,7
16,28,41.5,43.5,48.5,12,25.5,27.5,32.5,1.35,0.285714286,0.714285714,32.5,-0.635714286,1,0,1,1,1,7
20,31,40,42,58.5,11,20,22,38.5,0.9,0.285714286,2.357142857,38.5,1.457142857,1,0,1,1,1,7
12,21,30,38.5,45.1,9,18,26.5,33.1,0.9,1.214285714,0.942857143,33.1,0.042857143,1,0,1,1,1,7
18.7,32,49.9375,55.2,57,13.3,34.4,36.5,38.3,1.79375,0.751785714,0.257142857,38.3,-1.536607143,1,0,1,1,1,0
18,24,32.1,37,43.3,6,14.1,19,25.3,0.81,0.7,0.9,25.3,0.09,1,0,1,1,1,0
